2019-06-17 03:10:18,662 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:18,874 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 03:10:18,875 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:19,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 012d0abd-31f2-40d9-8a84-3030702bb6fd, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c3150de-219b-41b6-b6c1-a0a4f2ec67a7, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87575772-a154-44ad-a79e-1fd1b6d01089, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 380d30a9-d171-4fa5-a2dd-901c79f21389, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84dee8fa-7b18-46c9-982a-9cf9565ecad7, Nodes: 57072e41-fc52-4b6e-9399-fc7771f6a64a{ip: 76.186.163.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9156f56-011d-4710-ae0c-d461cbb5099e, Nodes: 92d82115-e072-463b-b0b3-c553265635ac{ip: 20.193.60.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66c2cc06-e1f5-45b1-abe9-17b5f89c136a, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2095ebc2-a1cd-4957-848c-2e60d420befc, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10fda5fa-6602-4436-a047-a7a82230cf63, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5c38b93-4085-4660-8ec4-dcca006646be, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
