2019-06-17 19:49:00,659 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f4e18b3-aa45-47e0-a33d-7b248dd454cd, Nodes: c167b786-6aba-424c-844c-7509531660d5{ip: 129.97.22.17, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0d64f62-3b35-4211-a645-f7ddedd89d41, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8ca2b0a-4701-474f-83c8-f6be543f74a0, Nodes: 3bb302a9-3068-437a-a8a4-750aa68387f4{ip: 156.180.230.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,661 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fd7c4704-4855-49af-8c51-afd4d3f22c87, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,662 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a177ba2-f1bf-418d-8c55-60da91d686b9, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,663 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e12947b-5d05-4b6c-bcc4-b3e3ca0ec3cd, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b11a3a2a-cf8a-4a63-9bf8-5cc5dbb093df, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5ba0980-696c-4b5c-9457-d9328a8479d1, Nodes: 3bb302a9-3068-437a-a8a4-750aa68387f4{ip: 156.180.230.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26d31b49-5a09-4d9b-bc99-eee40de0f179, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,667 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d44ae0c-af11-42ad-a6a2-f0450292b97c, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c0f59ab-22a6-4569-b0a3-73685a1ac3bf, Nodes: 9356512c-587f-4528-9a9e-3d9c4a96e509{ip: 125.23.57.30, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44773f7a-ba0e-4549-8f2d-99597d1a995f, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd92a73e-f1f0-4db8-99b9-02ce1a3b8bc3, Nodes: b38e2fe0-aa3e-451d-b15d-fbfe8b50c5f9{ip: 62.97.143.175, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 518a5e55-2ae9-4133-aaaf-f735ded1de21, Nodes: 3bb302a9-3068-437a-a8a4-750aa68387f4{ip: 156.180.230.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,670 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf59fea4-7265-4e4e-8be6-4e79c20cdb67, Nodes: b38e2fe0-aa3e-451d-b15d-fbfe8b50c5f9{ip: 62.97.143.175, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,670 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e634412d-afbc-4547-8e23-c9343fe61454, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7a8d6dc-cf83-4fcd-9d04-6c9d6d89badd, Nodes: b11f714d-bb36-4288-8cb1-31584ec59088{ip: 6.96.88.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd3b4e57-94ab-4ce3-b16b-e12a3683fd68, Nodes: b38e2fe0-aa3e-451d-b15d-fbfe8b50c5f9{ip: 62.97.143.175, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f6ae6b1-0bbc-4e93-9bd7-a7f6410d89be, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,673 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c3344e2-c86a-4e95-9a66-c0570bf875c0, Nodes: f1acbaba-6d9b-409a-91fc-68903b7e4b00{ip: 11.240.72.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,673 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfd0d24d-c9c6-49c9-810c-b1e1b04ba1d4, Nodes: 3404a9f9-864f-4390-ab52-577fa8746ef0{ip: 172.248.106.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ff4899b-37d7-4a19-a3df-131fdbd63d31, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b0c63a7-153f-45fa-a209-b5e72204a397, Nodes: 22670ae4-7130-4841-93ff-9c824c8967b0{ip: 94.120.4.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:49:00,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d967f54f-8bb7-456f-9872-4b74957e41cc, Nodes: 3404a9f9-864f-4390-ab52-577fa8746ef0{ip: 172.248.106.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
