2019-06-17 22:42:57,866 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d16faeb9-1f0d-4062-b483-486b41e98e42, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,867 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d19c661c-c133-422e-b431-00368c5ad1c3, Nodes: 2a343df8-411a-4ac1-b15b-a5e983a6651a{ip: 146.52.167.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,867 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1491222-5bb2-4906-b720-908f6a4717db, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,868 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d89a8450-bdcd-4ea8-8227-95afdd2658f7, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,868 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 074e72e5-2d6e-41b1-8188-dec5344e65df, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,869 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4af2f988-a0e0-4759-8e44-c3f32d8f2646, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,870 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4109927-18d4-41ed-a1b3-36d0a8362d48, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,871 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5cc981b2-b4b7-44b5-8de0-69be6acac605, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,873 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 671925d0-9119-459f-9f36-721891a94465, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,874 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc0fa136-7211-48c1-a285-cbe94863ba54, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,874 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9233feac-554e-4a71-8f3c-427432711f89, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,875 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8116c5d-21cd-4bb9-95c8-9b973ad1a136, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,876 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4ec1a43-9ec0-4337-85e3-04d201983e52, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,876 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18fe2fcb-1b61-4d0b-8437-98f8cb854ffd, Nodes: 4b1134a3-a5e6-46a0-89d5-d4b1d0ee34a0{ip: 86.85.176.132, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,877 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb85714e-e7cc-44fb-a902-383f5dc87041, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,878 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac969218-707c-4635-96dd-ed2d711abde2, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,879 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 34fb747a-079a-4618-8527-8410f3f19a62, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,879 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77d8352e-4d0c-48e8-a0c4-141975ba5227, Nodes: f7b854c3-0a4d-4ef7-9035-28e003a41467{ip: 76.122.161.10, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,880 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57c67934-a4a1-4092-8f7f-a2fbf0f2e48d, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,881 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0fdcdec-85f2-4e9a-9f28-25b8997a7437, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,881 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5e90bd9-a943-49a4-9ec9-7fb87307405e, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,882 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4b645299-d2a6-4fee-a455-e9feb1537af0, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,883 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c57c76a4-b1a9-4ef5-8479-80053d30b782, Nodes: 5f40d04f-60c3-4034-a569-d4cb30160faa{ip: 160.72.164.232, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,883 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b636d70-9532-4fff-a700-331eb67a8043, Nodes: 53c17031-9b1f-4f5b-a37d-81547a8fc73f{ip: 202.193.16.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,884 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d96b0a21-aef6-42d4-9a58-92c57eee51c0, Nodes: d4186ee3-2821-45bd-9151-4a2036f26e31{ip: 186.114.235.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,885 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44e5d0ab-b8d0-4f88-b86e-565048735575, Nodes: 351f63d7-b3ca-4cdd-a226-f7cf5a2c3fbb{ip: 235.129.146.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:42:57,885 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eb8d761f-87ac-4ef3-9f93-470c8ef0b1d3, Nodes: 12ecaac9-f4a7-4ab6-aa3d-2dee920234a8{ip: 245.206.19.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
