2019-06-15 15:40:04,954 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 038c1ca8-9312-462b-852a-bcbc7b774734, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,954 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01c11ec5-6e8c-4979-b6ac-ba35c781e8d9, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,955 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc283b35-ae3e-46c9-bffe-2e046b63a6ae, Nodes: 9ad7fdc5-da92-4a8d-a061-01e8e8efe6e5{ip: 82.79.46.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,955 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7903539a-c8ef-43a6-a287-bafabc9e7fb6, Nodes: 09cac20d-717b-4450-868b-d18c80f293b7{ip: 137.100.138.104, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,956 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 812bc746-6c01-41cb-a43c-ede619f94660, Nodes: ccded171-e932-4d8b-b88b-c5d8f5470b07{ip: 144.178.58.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,956 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 99f678ac-ae54-4794-aeb6-95c5ecca7579, Nodes: 19b6896b-ad9e-4b5c-9d12-80a316343755{ip: 162.86.213.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,957 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f280498-18f2-4585-ad65-c2ae63f43cab, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,958 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6ba4b30-db09-4640-95f4-2c24b90289cf, Nodes: d465b335-d57b-45d0-9759-6acd6065321d{ip: 161.27.158.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,960 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18685d1f-ac11-42d3-ba89-31cb75cdd838, Nodes: 968e7d08-fac4-4df0-804d-d5d9b49d8a26{ip: 209.168.117.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 360717f1-b7a2-41a1-85f4-4c5dfb029de0, Nodes: 19b6896b-ad9e-4b5c-9d12-80a316343755{ip: 162.86.213.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f871923b-7ea0-4964-8c4c-1e43f68a2852, Nodes: bcdd4c87-d813-43e9-94b1-b196e69eb794{ip: 230.96.196.55, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,962 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a898c3d-7154-437e-a792-b9707b7826c0, Nodes: 19b6896b-ad9e-4b5c-9d12-80a316343755{ip: 162.86.213.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,962 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eac48fda-27b2-4327-8243-9dbe3ff72b4b, Nodes: 19b6896b-ad9e-4b5c-9d12-80a316343755{ip: 162.86.213.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 15:40:04,963 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f53fcc84-2287-481c-9390-e5c1c50eb597, Nodes: 968e7d08-fac4-4df0-804d-d5d9b49d8a26{ip: 209.168.117.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
