2019-06-18 15:57:01,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce987ebd-b56c-4bab-9a5d-a7f8de0ed041, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c21a94d-5936-4d57-8fe5-499ab9c81a32, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb81fff2-ac3f-47db-899d-53defc624f93, Nodes: b3a429cb-8a5d-4904-a39b-0dd38430c1f7{ip: 13.159.118.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,805 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d5af848-67f1-4e75-b149-399a5e8ec628, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,806 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 299a240d-18b0-427a-aa39-e8355de0a7eb, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cf6e0a50-5d8d-4846-81e8-e9203784c055, Nodes: 367efe80-c23b-412b-9aaa-5a9898981be9{ip: 82.96.182.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d08a5a19-e302-47c0-988e-49c215dba7e8, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,808 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd075cbb-3152-4231-9a09-8d218e649102, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,809 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66f19e5f-d693-4515-80d6-0bf82141d56c, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,810 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cacb28df-fa4c-45e5-a348-fd0c69374f5b, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
