2019-06-15 11:22:06,560 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:06,721 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 11:22:06,721 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:07,026 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3349ea4c-5ece-4b2e-8a47-577d096ced96, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,027 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73fbd30e-4248-4654-9538-2fab5f09f9c4, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,028 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a7034a2-f02a-4106-a400-6cedd77251c4, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,029 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c5d460d-25de-4051-a0dc-e249797110f0, Nodes: 0373392e-1e22-4212-aa0e-74c6096f39a7{ip: 28.201.229.15, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,029 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d81ce3ec-6d26-4752-adb2-dc74eeb71e51, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,030 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9290add4-9b03-4d04-8ae6-c17f3c0a1c8a, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,031 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ada5567-2b51-417f-a601-fdc52cec9517, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,031 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e2964bdd-1479-49f8-bda3-d2c6cb51848b, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,032 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75e5d507-a907-4521-ad3d-597519f11c29, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,032 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80685984-e439-45c6-8dfa-4e274a221bde, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,033 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a5bddbe-9791-464b-ab34-14a1e3ca7328, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 182bc2c5-6777-4cea-aae2-30b1577c22c3, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f67e6249-c4dd-466a-b1c3-eee30c027de5, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,036 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b8992da-a2cd-41a7-afd0-6fddad3e2c5a, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
