2019-06-17 17:36:56,942 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d39e7ee2-9efb-4589-96f8-5e15ba66d283, Nodes: 509f700c-0af9-470f-a8b9-363c50d1a979{ip: 13.198.241.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,943 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 918d0152-1cd3-4456-813e-41c856641b5f, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,945 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6c11ff3-d1e6-4a78-833f-90b33e4aeb05, Nodes: 509f700c-0af9-470f-a8b9-363c50d1a979{ip: 13.198.241.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,945 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 04f5c378-0c3a-4892-a06d-685b9bfbc68c, Nodes: 3f88df91-9d1a-49bd-939b-ec4a761acd74{ip: 71.85.185.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,946 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 359c1242-67b4-44f1-acb2-80956e045aa5, Nodes: 3f88df91-9d1a-49bd-939b-ec4a761acd74{ip: 71.85.185.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,946 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab396f3c-b1e0-404d-9384-67772504470f, Nodes: f2969c1d-24e1-41f7-8cd4-889bf00cd166{ip: 96.17.86.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,947 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dddecc45-63b4-43f1-8df8-e786c1dc011f, Nodes: 3f88df91-9d1a-49bd-939b-ec4a761acd74{ip: 71.85.185.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,947 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef74a49e-b72b-4464-a1df-a9a31189c944, Nodes: 3ad72478-559f-4d5d-9cbf-0b1c404671fb{ip: 243.253.229.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,948 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbec0a38-a102-4a0e-a24d-64962ed1f572, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,948 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a0fb2f37-041c-4e7d-ad89-6c687a29ea06, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,950 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5a09003-fef4-4955-b222-a6741fab95aa, Nodes: f2969c1d-24e1-41f7-8cd4-889bf00cd166{ip: 96.17.86.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,951 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91407932-45dc-4194-a2b1-3c364dceda6c, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,952 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c9e928f-a678-4e8e-b819-354df1f0b255, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,953 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 300f2a66-2d17-4642-9034-1d29e86977fd, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,953 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b485518-3907-4b9a-83e8-1db1a0c348a2, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,954 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a58b9c77-9c86-43fa-8f2c-9570d48fba03, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,955 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0ac1685-002f-4f63-90fc-96c73f4f7645, Nodes: 3f88df91-9d1a-49bd-939b-ec4a761acd74{ip: 71.85.185.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,955 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9d08d91-c7c8-4d58-82c2-8bfbc400b5e9, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,956 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06c9c358-4264-4eae-a32a-ca439fedbd04, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,957 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00f45eda-1b88-494d-9674-136c0fd0702c, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,957 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7f13f33-7663-423e-aed2-f4caa427880a, Nodes: 3ad72478-559f-4d5d-9cbf-0b1c404671fb{ip: 243.253.229.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,958 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ee618e6-1259-462e-814b-ae14486576ac, Nodes: 509f700c-0af9-470f-a8b9-363c50d1a979{ip: 13.198.241.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,959 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fbaee37b-2d12-4fda-83a7-7bece76f6e33, Nodes: 3ad72478-559f-4d5d-9cbf-0b1c404671fb{ip: 243.253.229.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,959 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3d2126b-ba6d-4800-ad9d-ada2eca686a9, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,960 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a178ad7-ceb6-42d1-a135-4ea5d54308a2, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e8ce992-b702-4b02-8306-0f2de2c22547, Nodes: f2969c1d-24e1-41f7-8cd4-889bf00cd166{ip: 96.17.86.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,961 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 351b6358-a5da-49d5-b6ad-7f9539098f41, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,962 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4e18e74-5903-4209-961c-e0a004172dd6, Nodes: 509f700c-0af9-470f-a8b9-363c50d1a979{ip: 13.198.241.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,963 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 017338f6-36ea-4d74-bfcf-da9e26bec3ae, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,963 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7604ee0b-577a-4c10-a8e2-37fb3289ae69, Nodes: 3f88df91-9d1a-49bd-939b-ec4a761acd74{ip: 71.85.185.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,964 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5c7f6f7-150f-4520-b995-7017102a3697, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,965 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5451c6b-ab13-4875-b1fc-d71ebf1e9188, Nodes: eaae884c-3573-463b-ab1e-2819e9d34e3f{ip: 150.10.251.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,966 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79d346ca-706b-4688-b25c-1c6d3be40f23, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,966 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c6401d1-b8e0-42d8-8332-51ee3d5d6ae9, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d86ab2a8-1dff-4006-8f2a-4cd1e8b5e7d8, Nodes: f2969c1d-24e1-41f7-8cd4-889bf00cd166{ip: 96.17.86.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 865f7987-a569-4efd-8257-04bef6c2350e, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1f2c154-0225-4d8f-8eab-a5017e3fd103, Nodes: 3ad72478-559f-4d5d-9cbf-0b1c404671fb{ip: 243.253.229.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91a01b71-b304-4362-b59e-5d5dfaded0dd, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56e8a5ed-3d06-4aae-93fb-f2a81a2ef470, Nodes: f2969c1d-24e1-41f7-8cd4-889bf00cd166{ip: 96.17.86.239, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed67432c-86a7-40bd-b4f6-6147b5fe101f, Nodes: 6fa90e92-a4b4-4633-a667-b511641a8bad{ip: 76.38.128.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eca2cf11-3cc7-40d1-976e-e938eb654f0f, Nodes: 410f7a4f-31f4-4e1a-b203-9901a6d19dcb{ip: 229.190.195.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,972 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aefbd9eb-e2da-45d5-aef6-88578aec405a, Nodes: 509f700c-0af9-470f-a8b9-363c50d1a979{ip: 13.198.241.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,973 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a749246-4740-419c-8ae2-baa0cb705165, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:36:56,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b824e1b-7e5c-4683-a270-6fc42bdd9b92, Nodes: 26552bed-1e89-4c2b-b2d6-87e4fe2c918d{ip: 0.236.239.72, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
