2019-06-15 13:35:50,885 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e73709b1-c308-46fc-9af3-89eab3b50f77, Nodes: e17b67f6-c63a-43aa-8ee6-62b1c15cde6b{ip: 6.145.129.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,886 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ca1f5d0-b3a6-4f55-90cb-8d3677e3d880, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,886 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 976562e6-3ffc-4605-a3e2-b82b5b20ee54, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,887 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c473ef3a-ec5d-44b9-8e94-0a606304dc91, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 48eef00c-094e-437c-afe1-81001dbc4903, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cbc0239b-9b9c-4fdf-b767-177374468415, Nodes: 39568f07-ee38-4618-993c-f4b06ca65e6d{ip: 75.36.48.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,890 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f935013b-0f51-41b0-9a9c-dba9bea12331, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79d6c9b7-019f-4a55-87c9-2bc6ce72a06b, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c44e862b-4931-4a9f-8dcf-6cdfc85f1bbf, Nodes: 54b2977d-3a3d-4814-991b-c92ce7c83d1d{ip: 170.79.58.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 50e23b41-2db0-4bd0-9650-423c624d4999, Nodes: 54b2977d-3a3d-4814-991b-c92ce7c83d1d{ip: 170.79.58.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ff37d44-a8b7-4d3f-9d20-ddfabe28fbde, Nodes: dcf9bdd1-fcdf-478f-bd60-62f52672cd6d{ip: 37.163.166.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,893 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 507c8175-475d-4570-808e-716d17c72ec0, Nodes: 529e7b4c-e1a7-4466-b180-46eafefb90e7{ip: 91.67.187.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,893 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1cd5c7c-6156-42c9-b423-d8605f456ec1, Nodes: b252cc0f-c799-4178-98f4-b650c4c769e5{ip: 244.242.222.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30326629-b85e-48d2-a97b-b1dd2c898c25, Nodes: 54b2977d-3a3d-4814-991b-c92ce7c83d1d{ip: 170.79.58.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b2c9735-e36e-4e31-a66f-d830d9cd7b86, Nodes: b252cc0f-c799-4178-98f4-b650c4c769e5{ip: 244.242.222.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,895 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6bf0e1d8-6964-411b-b8fc-812aa5ec1d5b, Nodes: 529e7b4c-e1a7-4466-b180-46eafefb90e7{ip: 91.67.187.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,895 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c5dec0b-bfeb-4601-ba5a-eeae4cd155f6, Nodes: 529e7b4c-e1a7-4466-b180-46eafefb90e7{ip: 91.67.187.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 13:35:50,896 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e75a925-bcb7-4867-8715-27b1b198e45c, Nodes: f007f277-3b7d-48bc-82da-0aab222dfd43{ip: 225.22.250.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
