2019-06-17 23:21:38,897 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 23:21:39,456 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f90de4e0-71a4-454f-98c3-40cf16e9888e, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,456 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 105610fb-8bbd-493a-961a-252532a133d6, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 521c22ac-7587-4ad3-bd19-40c3b845b0d7, Nodes: afb41310-9cb4-41cb-bdaf-ec1d6ac05e2b{ip: 33.138.77.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 404e2dd2-d4d6-43f6-ab05-94bd132235ae, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,459 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95391f8b-1b45-4bd8-b626-615e95f77321, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,460 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 809b115e-b6da-45b4-9bdd-5faf12a8187f, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,460 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d9703d81-e0fe-4383-8227-0d7c2b63ad2b, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,461 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a44ec42-a983-491d-bad3-3b1c68074e31, Nodes: fe58cf06-dd16-4df3-8b3d-a057635b6f11{ip: 226.231.84.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,461 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91ef5ba6-3794-495e-9af8-0f98b2ef3792, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,462 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b97f3b76-758f-48d5-841c-f281a98add25, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,463 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da1dbf64-a5f3-4fee-992a-4173cf3d3223, Nodes: 7e25dbb2-e518-4df4-ae2f-1a0da15e69e3{ip: 120.54.252.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,464 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d9522e12-6a5e-4fd8-8eb8-40e63578c375, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,465 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70508b94-3a14-4ed8-a782-2f62b8a92593, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
