2019-06-16 20:40:12,654 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef3cada2-4eb2-4dda-9ed6-5fe33929f47c, Nodes: 8d9a6367-96b3-4ebc-9d5c-64a63f690c6c{ip: 38.82.245.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,656 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6daacc24-f5f0-4273-bc2a-598949cd75a3, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,657 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 27196c84-07df-4642-9aff-4c5d41c88c12, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,657 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 96fcc7cf-d897-4f8c-8029-0f624e579db0, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,658 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2bc18d65-e3ba-41f5-89d7-4462df54829b, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,659 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f3c4683-1ad0-4715-9c4f-557e6b48d37a, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,659 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab761850-21f5-4d74-bcee-7b15a34856e7, Nodes: de0b6018-945a-42bc-a9a3-dbd595c08bb6{ip: 227.187.31.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56754bc3-0419-464f-b0b0-1d8c6bf98888, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,662 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20d688dd-fc40-437b-8a94-02cc221e2fe4, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,663 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c26f19f0-dbd0-4cf2-bd4a-c0d103bcc3ea, Nodes: de0b6018-945a-42bc-a9a3-dbd595c08bb6{ip: 227.187.31.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18beec1f-fe47-4de8-9d3a-ffc582f5b1dc, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,665 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c24dbaa8-b41a-4596-b983-a20783ee3b84, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,665 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 218aab22-40ff-4787-97da-1c2dc56e1ee6, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
