2019-06-17 12:43:39,821 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:43:40,392 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 867af3d5-992c-4be3-ba94-bc44d33fa35c, Nodes: de5bbd6e-ea37-46ce-982e-217056a7acb8{ip: 42.25.79.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,394 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1bdd738-3c05-4322-b3ca-cbe6609f7e93, Nodes: 5eaf6b53-007a-4f31-8120-5022767d9777{ip: 202.105.117.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,396 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43e166cc-7888-4573-b56c-ce3d7c098b5e, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,397 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1fc26317-e867-44c2-bf6b-0b27815f6f21, Nodes: de5bbd6e-ea37-46ce-982e-217056a7acb8{ip: 42.25.79.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,397 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a04fa7c7-5100-48bb-a56d-6492e14f5f42, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,398 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43a9858f-b9f2-4abc-83d2-b4997b6c19e9, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,398 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f7b754b-44c5-41ac-bc91-ae90ce34455e, Nodes: de5bbd6e-ea37-46ce-982e-217056a7acb8{ip: 42.25.79.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,399 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c18b1e28-11c2-4d89-aed7-7dac66a1af18, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,400 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 407fb840-3c1d-4465-94af-897a4cdef8e8, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,400 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de6ee455-5749-43c6-84be-1f29fbd69353, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,402 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac408660-7092-4ba6-afbc-0a92820ec2ff, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,404 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0105d37a-c297-4b7d-8f31-7c5a9a83111e, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,405 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8be9a3e-db12-478c-80b9-eccf320724ae, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,405 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ecd3909c-7b62-4555-94fb-11e6b466b8f8, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,406 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 758fbf81-d393-413f-a3c8-fd70d472a3e5, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,407 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce1bb71a-0bb1-47ba-910b-dff28c8674ef, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,407 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6aee8e61-a369-4eaf-b378-a5fd968470c3, Nodes: de5bbd6e-ea37-46ce-982e-217056a7acb8{ip: 42.25.79.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,408 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8bdced58-be33-46aa-9f0d-affc9650cd8c, Nodes: de5bbd6e-ea37-46ce-982e-217056a7acb8{ip: 42.25.79.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be470acb-5d59-43c6-a2cd-130c596d7d1f, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbb35709-813a-4937-a96f-76103398c747, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
