2019-06-15 07:05:01,421 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:01,657 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 07:05:01,658 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:02,030 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3cb490c6-8209-4e38-9a7a-4927e32bc996, Nodes: b832c526-e97b-461f-aa06-791eeef43edc{ip: 1.27.190.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,033 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5fa48786-cb28-400a-bca7-14651ade85a0, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,034 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6f5dce2-5461-4603-94ef-d501944b18a4, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1319e34-3fcc-4312-8b55-90ec1e2292f0, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,035 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b421e337-e0c3-4b80-9528-5a048ffe7cbc, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,036 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e53eeb0-90f2-4d1b-98ef-dfa4e55e6826, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,037 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe4a90f5-fe43-4d35-8e0b-00420a15b980, Nodes: b832c526-e97b-461f-aa06-791eeef43edc{ip: 1.27.190.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,038 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 364e7991-29fe-4c13-a9c7-610bd081af8d, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,040 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51a6352b-7a4c-45c1-90bd-24c6224f45a1, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b7ffda4-43e0-4604-9176-a06b25a12f31, Nodes: 54d568ba-213b-42c3-83c5-57deff87aabe{ip: 65.174.148.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1ea346e-cd30-441a-8f5c-0a24aae3f5a6, Nodes: 54d568ba-213b-42c3-83c5-57deff87aabe{ip: 65.174.148.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,042 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ad9c640-eaa9-4334-abe2-e237c1dba683, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,043 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42ee984a-4e13-4eda-bd8b-2e6763e224a7, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,044 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4cb09bd-7234-422b-84a3-6f61f501e2c9, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,044 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62780ecd-015e-40ca-b931-4fc5925e1971, Nodes: 9410bada-d372-488d-96fc-7a8d9dd21553{ip: 170.135.236.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,045 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b3d9000-c629-4d73-9b8f-7ef9eb41ea0f, Nodes: b832c526-e97b-461f-aa06-791eeef43edc{ip: 1.27.190.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,046 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f4adbb4-1995-43fa-8ba7-ef2fa8b2b7b2, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,046 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d9f2ba4-a39e-4a1f-8871-8073a8f58b8b, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,047 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fdee52f0-46db-474e-b0dc-d780dfe7dbbb, Nodes: ffe4c332-56c8-4320-86fe-e4b1765cc358{ip: 235.167.213.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,047 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9f49071-76fc-42af-8f84-fc64300cf9a6, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,048 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09a9a38a-b6ef-4822-940e-092a5bfbaf5a, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
