2019-06-20 20:28:12,043 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:12,052 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 4 milliseconds for processing 0 containers.
2019-06-20 20:28:12,484 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1828910816052817920 is under replicated. Expected replica count is 3, but found 2.
2019-06-20 20:28:12,485 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1828910816052817920 to datanode 4237a244-7dc6-4c2e-ad74-34b9482340ad{ip: 241.66.85.130, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-20 20:28:12,495 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 53 milliseconds for processing 1 containers.
2019-06-20 20:28:12,557 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #1828910816052817920 to datanode 273611a9-8c67-4ca1-a7c0-732a81fd0186{ip: 237.119.122.231, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-20 20:28:12,560 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 13 milliseconds for processing 1 containers.
2019-06-20 20:28:12,651 INFO  container.ReplicationManager (ReplicationManager.java:handleUnderReplicatedContainer(489)) - Container #1828910816052817920 is under replicated. Expected replica count is 3, but found 2.
2019-06-20 20:28:12,651 INFO  container.ReplicationManager (ReplicationManager.java:sendReplicateCommand(652)) - Sending replicate container command for container #1828910816052817920 to datanode e7d63995-2c94-41f6-801c-9062245ab1d5{ip: 76.29.202.87, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-20 20:28:12,652 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 4 milliseconds for processing 1 containers.
2019-06-20 20:28:12,749 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:12,804 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:12,806 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-20 20:28:12,906 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-20 20:28:13,006 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:13,043 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:13,047 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-20 20:28:13,152 INFO  container.ReplicationManager (ReplicationManager.java:forceCloseContainer(446)) - Force closing container #7297350770846182400 with BCSID 10000, which is in QUASI_CLOSED state.
2019-06-20 20:28:13,155 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7297350770846182400 to datanode 014bf128-8c66-41b6-8aa6-9d8f26e87e87{ip: 129.109.200.144, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,157 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7297350770846182400 to datanode 6efc3229-f218-4dac-a578-79d107be8324{ip: 39.142.99.109, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,157 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7297350770846182400 to datanode 12e4bc18-95fe-434e-8fa1-6ae62ae9018e{ip: 116.15.241.23, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,158 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 11 milliseconds for processing 1 containers.
2019-06-20 20:28:13,247 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:13,277 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:13,279 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-20 20:28:13,380 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode f7582cda-7bc8-41f0-9d93-bdf4d346d3bd{ip: 192.151.31.150, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,381 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode 08b1a002-6cb4-49d8-8ff7-14e67bfa41ad{ip: 188.240.58.111, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,381 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode a730c47a-6000-4ea4-a218-d2c3fa7b0bb2{ip: 83.79.75.165, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,382 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 3 milliseconds for processing 1 containers.
2019-06-20 20:28:13,480 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode f7582cda-7bc8-41f0-9d93-bdf4d346d3bd{ip: 192.151.31.150, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,480 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode 08b1a002-6cb4-49d8-8ff7-14e67bfa41ad{ip: 188.240.58.111, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,481 INFO  container.ReplicationManager (ReplicationManager.java:sendCloseCommand(630)) - Sending close container command for container #7182966447118893056 to datanode a730c47a-6000-4ea4-a218-d2c3fa7b0bb2{ip: 83.79.75.165, host: localhost, networkLocation: /default-rack, certSerialId: null}.
2019-06-20 20:28:13,481 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 1 containers.
2019-06-20 20:28:13,579 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:13,605 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:13,607 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
2019-06-20 20:28:13,707 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 1 containers.
2019-06-20 20:28:13,807 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:13,833 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:13,836 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-20 20:28:13,966 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:13,987 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:13,989 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 1 milliseconds for processing 0 containers.
2019-06-20 20:28:14,090 INFO  container.ReplicationManager (ReplicationManager.java:handleOverReplicatedContainer(525)) - Container #6364470368648957952 is over replicated. Expected replica count is 3, but found 4.
2019-06-20 20:28:14,093 INFO  container.ReplicationManager (ReplicationManager.java:sendDeleteCommand(675)) - Sending delete container command for container #6364470368648957952 to datanode 1a59e945-af2c-4d67-bea5-4f9810ce5d07{ip: 186.200.3.3, host: localhost, networkLocation: /default-rack, certSerialId: null}
2019-06-20 20:28:14,093 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 5 milliseconds for processing 1 containers.
2019-06-20 20:28:14,189 INFO  container.ReplicationManager (ReplicationManager.java:stop(187)) - Stopping Replication Monitor Thread.
2019-06-20 20:28:14,215 INFO  container.ReplicationManager (ReplicationManager.java:start(155)) - Starting Replication Monitor Thread.
2019-06-20 20:28:14,217 INFO  container.ReplicationManager (ReplicationManager.java:run(207)) - Replication Monitor Thread took 2 milliseconds for processing 0 containers.
